325ou3p,480784,858.160,521.561,0,1960-05-25T12:25:19Z,1926-09-19,11:06:03,"3,2","{""x"":9,""y"":3}"
zdrbttc,407010,960.523,912.561,0,1923-02-13T06:37:49Z,2007-06-08,03:07:24,"2,1","{""x"":8,""y"":9}"
8pd7xb2,712652,352.676,141.401,0,1997-05-28T09:32:56Z,1943-10-02,05:06:01,"7,5","{""x"":8,""y"":2}"
sl8epc7,834933,439.357,896.658,0,1947-10-02T01:20:15Z,1923-12-12,01:34:36,"5,3","{""x"":1,""y"":2}"
5y7085y,453903,115.300,464.227,0,1953-04-01T06:51:01Z,1972-05-07,03:50:16,"7,9","{""x"":7,""y"":4}"
j5o6e3b,215046,912.101,563.630,0,1952-03-11T01:25:55Z,1981-01-12,01:28:34,"9,8","{""x"":9,""y"":5}"
0a56ytu,141600,104.821,328.538,1,2009-07-31T11:37:34Z,1967-10-19,08:31:37,"4,6","{""x"":7,""y"":9}"
ecot2xj,259943,600.793,952.479,0,1953-03-09T09:33:59Z,1969-09-24,03:28:52,"4,1","{""x"":5,""y"":9}"
elg6xym,218852,402.361,837.002,0,1986-10-12T12:45:27Z,1991-10-01,07:20:56,"6,8","{""x"":8,""y"":3}"
wmvsxsg,171061,140.828,152.839,1,1974-11-18T06:11:58Z,1988-09-04,01:48:35,"2,9","{""x"":4,""y"":7}"
3citosv,940222,383.581,820.183,0,1998-09-05T07:04:44Z,1963-09-14,08:06:41,"4,3","{""x"":5,""y"":6}"
y7zt8dv,230272,395.389,470.935,0,1968-06-15T12:43:31Z,1994-06-22,05:53:56,"4,1","{""x"":6,""y"":9}"
arp4m5y,752101,278.228,378.085,1,1992-02-28T12:00:49Z,1960-10-19,09:27:06,"8,8","{""x"":1,""y"":5}"
nqu94cs,529085,957.183,507.134,0,1953-12-06T08:41:18Z,2014-07-13,10:02:29,"7,1","{""x"":8,""y"":4}"
p2pxgft,306176,524.435,192.935,0,1937-10-21T12:20:49Z,2010-05-05,09:10:23,"9,5","{""x"":5,""y"":4}"
ngp5c2t,180466,677.240,156.717,0,2000-12-12T08:27:32Z,1935-05-14,04:13:11,"3,8","{""x"":5,""y"":3}"
gixvgbs,425747,352.778,935.732,0,2005-10-08T04:31:02Z,1943-04-05,09:49:48,"1,9","{""x"":3,""y"":1}"
gfjcnlu,772134,639.243,837.796,1,1953-12-08T08:30:46Z,1926-04-03,01:09:00,"3,5","{""x"":2,""y"":3}"
5btbw86,124580,970.057,304.933,0,2016-05-24T12:06:57Z,1970-02-15,04:42:17,"4,8","{""x"":3,""y"":5}"
5k1t8m5,275789,962.034,583.491,1,1948-10-14T10:08:36Z,1960-12-21,07:27:46,"9,5","{""x"":5,""y"":7}"
htoiw9o,980416,388.219,289.280,1,1992-02-21T04:50:58Z,1953-07-28,06:23:06,"4,1","{""x"":6,""y"":3}"
kt95lit,956091,540.402,623.263,1,1958-12-20T05:08:29Z,1961-09-15,03:56:26,"6,9","{""x"":2,""y"":9}"
hhjok54,663492,408.045,712.371,0,1988-08-21T09:28:18Z,1941-07-30,03:40:08,"8,9","{""x"":7,""y"":8}"
r959pcg,665646,579.675,565.341,1,1951-12-24T09:44:17Z,1939-02-13,07:18:38,"6,6","{""x"":7,""y"":3}"
ssbt3v9,220581,801.276,775.859,1,1952-07-18T12:38:20Z,2018-07-22,11:11:33,"7,4","{""x"":6,""y"":8}"
rswervd,448052,725.045,971.642,1,1944-02-14T07:28:05Z,1956-04-01,05:31:19,"5,4","{""x"":9,""y"":3}"
bhabzxf,207785,943.906,983.067,0,1979-07-20T09:27:10Z,1935-09-23,05:37:04,"1,4","{""x"":3,""y"":3}"
86giq6u,689891,949.614,787.017,0,1959-06-20T01:31:54Z,1982-05-06,08:38:32,"9,3","{""x"":6,""y"":1}"
jks87dd,353361,552.865,603.011,1,1936-03-04T06:20:59Z,1947-10-09,01:30:40,"9,6","{""x"":8,""y"":3}"
y2irhgl,996691,756.256,289.185,0,1998-10-14T02:48:44Z,1931-10-09,04:14:07,"3,2","{""x"":5,""y"":4}"
862omea,257878,478.675,589.378,1,1978-01-14T08:04:29Z,1952-03-08,05:19:43,"2,3","{""x"":1,""y"":9}"
wg2sz7u,707246,592.462,789.330,0,1988-04-17T06:08:14Z,1937-11-01,02:50:19,"8,2","{""x"":3,""y"":8}"
f88bnbo,193218,175.303,212.825,0,1997-08-15T01:21:57Z,2015-11-23,08:30:17,"8,9","{""x"":3,""y"":6}"
c6a7c4c,545895,766.952,825.288,1,1950-04-09T09:29:42Z,1956-03-31,12:02:26,"4,6","{""x"":7,""y"":9}"
afici1k,653594,929.248,529.175,0,2009-04-08T11:49:31Z,1920-04-26,08:51:18,"6,3","{""x"":4,""y"":1}"
vko1jgt,833612,354.313,719.132,1,1923-11-09T03:36:54Z,1982-04-01,02:24:28,"4,6","{""x"":6,""y"":7}"
3vad3xl,237781,184.169,626.420,1,2018-06-10T02:37:15Z,1992-06-15,11:53:10,"2,1","{""x"":8,""y"":7}"
0v2xik8,773723,623.930,584.273,1,1960-11-02T06:57:18Z,1930-04-23,05:18:56,"3,8","{""x"":6,""y"":6}"
r30odzp,600756,419.934,130.420,0,1995-02-16T01:55:13Z,1979-04-13,06:19:10,"7,6","{""x"":4,""y"":5}"
ytr94nv,498735,829.842,193.496,1,1957-03-30T08:04:39Z,1945-03-06,09:46:29,"2,7","{""x"":2,""y"":3}"
wrnzx8r,665084,974.728,340.215,0,1951-02-27T07:42:15Z,2015-07-20,09:42:58,"8,2","{""x"":6,""y"":4}"
6sxez28,731809,300.712,436.804,1,2018-05-05T01:23:07Z,1966-11-12,01:42:05,"9,4","{""x"":5,""y"":3}"
m3gvc9l,339478,197.559,608.469,1,2011-01-27T04:31:42Z,1943-08-30,06:02:39,"3,1","{""x"":2,""y"":9}"
mosr393,276910,970.902,840.686,0,1962-10-06T08:06:22Z,1974-10-30,12:11:21,"8,5","{""x"":7,""y"":6}"
8mrnxgy,114312,675.271,387.070,1,2008-07-31T02:58:06Z,1978-07-14,08:48:24,"1,8","{""x"":1,""y"":1}"
iz3p1xu,451058,855.884,551.224,0,1920-11-14T03:06:32Z,1928-03-06,11:47:19,"1,3","{""x"":5,""y"":7}"
j6kal69,157247,160.068,129.667,1,1997-02-19T09:41:50Z,2009-12-29,08:32:08,"7,8","{""x"":5,""y"":5}"
vxrhp3z,546587,699.913,259.238,0,1936-01-30T08:36:13Z,1932-12-10,10:44:30,"7,5","{""x"":3,""y"":7}"
noxw1dw,599861,536.020,882.267,1,1962-03-22T04:27:57Z,1978-10-06,11:59:22,"1,3","{""x"":5,""y"":3}"
2jb151b,706593,306.520,302.763,1,1963-12-25T01:07:16Z,1938-12-20,07:29:02,"8,1","{""x"":3,""y"":8}"
n3dgs66,416267,554.564,399.138,0,1981-05-31T10:46:03Z,1962-03-15,05:17:44,"1,8","{""x"":8,""y"":6}"
ujnatgh,368908,223.464,772.594,0,1969-01-17T09:35:15Z,1968-11-11,04:25:55,"7,7","{""x"":7,""y"":2}"
